ItemSerialID,SerialNumber
15789,19T30M28B01746
15790,19T30M28B01590
15791,HXHXWC06VH
15792,H9FFRQ7D9J
15793,CG27XY5Y64
15794,G6V2V320GD
15795,FY3393QMQ9
15796,6G3B355DA01EA
15797,A2VLHJX
15798,A2VLHKM
15799,A2QJ3HK
15800,A2QJ3EM
15801,A2QJ3N2
15802,A2QJ3HL
15803,A2VLHL0
15804,A2QJ3NM
15805,A2VLHK0
15806,A2T63LH
15807,A2QJ3MX
15808,A2QJ3Q5
15809,A2VLHKL
15810,A2T63JT
15811,A2VLHK5
15812,A2VLHKW
15813,A2QJ3FM
15814,A2QJ3MU
15815,A2QJ3MM
15816,A2VLHK2
15817,2339WD05BEF9
15818,2339WD05DC19
15819,2339WD05C5B9
15820,2339WD05B869
15821,A2W91X2
15822,A2W91CE
15823,A2W91WK
15824,A2W91W1
15825,A2W91XX
15826,A2W919L
15827,A2RXWRW
15828,A2W91AM
15829,A2W91C1
15830,A2W91AN
15831,A2W91WJ
15832,A2W9182
15833,A2W91WL
15834,A2W91A1
15835,A2W91WN
15836,A2W918M
15837,A2W91AC
15838,A2W91WU
15839,A2W9183
15840,A2W919T
15841,A2W919K
15842,A2W919R
15843,A2W91YD
15844,A2VKL56
15845,A2RXWCD
15846,A2W91WP
15847,A2W91A9
15848,A2W91WT
15849,A2W91YL
15850,A2W9190
15851,A2W91AF
15852,A2W91AT
15853,A2RXWT3
15854,A2W91XD
15855,OS2CP0019006H
15856,OS2CP0018706H
15857,0SC9P0004005H
15858,0SC9P0011605H
15859,0SC9P0011405H
15860,A2WHY2K
15861,A2WHWP5
15862,A2F98HE
15863,A2VQYPA
15864,A2W7MXH
15865,A2WHXVD
15866,A2WHWPN
15867,A2WHXVT
15868,A2WHXYY
15869,A2WHXVQ
15870,A2WHXV6
15871,A2WRFE4
15872,A2WRFM1
15873,A2WHXUT
15874,A2DLQDF
15875,A2WRFLW
15876,A2WHXW6
15877,A2WHXWP
15878,A2WHXV5
15879,A2WHWQJ
15880,A2WHXVF
15881,A2WHY2U
15882,A2WHWM7
15883,A2WRH94
15884,A2WRFEE
15885,A2WHXVJ
15886,A2WHXU6
15887,A2WHY30
15888,A2WHXUX
15889,A2WRH0F
15890,A2W7M8W
15891,A2WHXU8
15892,A2WHWMV
15893,A2WHWPL
15894,A2V95D3
15895,A2V95DV
15896,A2V959W
15897,A2V95DU
15898,A2V956C
15899,A2V9545
15900,A2V9595
15901,A2V95AJ
15902,A2V955W
15903,A2V95F0
15904,A2V95CD
15905,A2V95CE
15906,A2V958U
15907,A2V9531
15908,A2V95D1
15909,A2V954F
15910,A2V95EJ
15911,A2V95AT
15912,A2V955Q
15913,A2V952E
15914,A2V95A4
15915,A2NUUT1
15916,A2NUUU9
15917,A2Q87V6
15918,A2R4RD5
15919,A2R4RD2
15920,A2R3HPR
15921,A2R3HNK
15922,A2R0MRJ
15923,TYE2C8001352
15924,TYE2CP002695
15925,A2TLQ1X
15926,6502429-03
15927,2202JBH16496
15928,304874
15929,304866
15930,304870
15931,304879
15932,304867
15933,304880
15934,304877
15935,304865
15936,304868
15937,304881
15938,304864
15939,304871
15940,304883
15941,304875
15942,303876
15943,304882
15944,304878
15945,304873
15946,304872
15947,304869
15948,303770
15949,303773
15950,1948JBH11263
15951,06LC3K6T400455
15952,06LB3K6R900391
15953,CAB-18U-1
15954,CAB-18U-2
15955,CAB-18U-3
15956,CAB-42U-2
15957,05RF3K6NB00260
15958,04LH3K3KB0077
15959,995903019100652
15960,995903019100644
15961,995903019100603
15962,995903019100645
15963,995903019100646
15964,995903019100618
15965,995903019100649
15966,995903019100650
15967,01042401019160249
15968,01042401019160295
15969,312505016430859
15970,7368150-1
15971,7368150-2
15972,669101017510312
15973,735101018130167
15974,1045802019180336
15975,1045802019180306
15976,965602019130183
15977,1045802019180331
15978,735101018130176
15979,1181901019440265
15980,965602019030158
15981,735101018130177
15982,1045802019180311
15983,06L93K3R500079
15984,06L93K3R500100
15985,06L93K3R400012
15986,CAB-42U-1
15987,6956100400018-1
15988,6956100400018-2
15989,6956100400018-3
15990,SPS-502m-1
15991,SPS-502m-2
15992,SPS-502m-3
15993,SPS-502m-4
15994,C03907U054
15995,C03907U128
15996,C03907U119
15997,C03907U126
15998,01005322NB
15999,3X001389DB
16000,RMI3-FLIP-1
16001,RMI3-FLIP-2
16002,RMI3-FLIP-3
16003,RMI3-FLIP-4
16004,305INTX5Y267
16005,305INLV5Y296
16006,305INNG5Y303
16007,305INAR5Y304
16008,305INUB5Y302
16009,305INGQ5Y295
16010,305INEW5Y300
16011,306NSA33262
16012,CAB-42U-3
16013,91-NS10-1
16014,300322
16015,RPAU-1
16016,RPAU-2
16017,FSR1U-1
16018,PRG-UNV-W-1
16019,PRG-UNV-W-2
16020,PRG-UNV-W-3
16021,CMA100-1
16022,CMA100-2
16023,NB-ACC-058-1
16024,ACC852W-1
16025,ACC852W-2
16026,ACC852W-3
16027,02464490293034BC
16028,8440264152
16029,8021298212
16030,A29P76L
16031,A29P7E5
16032,A2D9NNX
16033,A2CPDL8
16034,401287
16035,1350
16036,1360
16037,3AV18992271
16038,3AV18988302
16039,3AV18988314
16040,3TI07165766
16041,3AV1899257
16042,3AV18992601
16043,3TI0716288
16044,3AV1899269
16045,3AV8992562
16046,3TJ21679704
16047,3TJ21679932
16048,3TJ21679944
16049,3TJ21679970
16050,3AV18992550
16051,1404-0324
16052,A0XAVF6
16053,51791-1-10
16054,51791-1-11
16055,51791-1-12
16056,51791-1-13
16057,51791-1-14
16058,51791-1-15
16059,51791-1-16
16060,51791-1-17
16061,51791-1-18
16062,51791-1-19
16063,21344129
16064,1948JBH10704
16065,1938JBH00736
16066,1938JBH00982
16067,11105417
16068,6510597-1
16069,FR807370081
16070,FR807370055
16071,FR807370009
16072,FR807370054
16073,FR807370040
16074,FR807370097
16075,U-905-024640-A
16076,U-905-024639-A
16077,U-905-024642-A
16078,A0XAW0J
16079,A17LPPA
16080,A1C40LW
16081,A1EFK8D
16082,91407550
16083,91407590
16084,A23D8TQ
16085,A23D8U2
16086,A20VAQ8
16087,A20VAL2
16088,A20VAMY
16089,A20VAPH
16090,A22Y315
16091,A23H3WF
16092,A23H3W9
16093,A21HMLV
16094,A25A2UV
16095,1750NEJ11302
16096,A24DWRA
16097,A24DWQK
16098,A2CX9DU
16099,15602CFL220901671
16100,15602CFL220901670
16101,14406ASL62102722709
16102,14406ASL62102722708
16103,14406ASL62102722707
16104,912102001064
16105,ESE-Ha-1
16106,ESE-Ha-2
16107,ESE-Ha-3
16108,ESE-Ha-4
16109,ESE-Ha-5
16110,AT831CW-1
16111,AT831CW-2
16112,AT831CW-3
16113,AT831CW-4
16114,5CD3380YXL
16115,A1LXP8V
16116,A1KMYW3
16117,A1LXP9Y
16118,A1VR2U0
16119,A1VR09F
16120,A1VR2T0
16121,A1VR0LL
16122,A0TJR2N
16123,A1UWCRU
16124,A256EDL
16125,A26F5CM
16126,A1YW8X0
16127,A1YRYTX
16128,A1YW8Y3
16129,A1YW8R0
16130,A1YW8U8
16131,A1YTDHR
16132,A1YW8RV
16133,A1YW8RU
16134,A1YW900
16135,A1YW8R4
16136,A1YW903
16137,A1YTDJE
16138,A26KACT
16139,A26KA7W
16140,A261EX8
16141,A26KAA1
16142,A252CKJ
16143,A26KA7C
16144,A252CKQ
16145,A26KA9U
16146,A261EY7
16147,A2466C5
16148,A26K9QW
16149,A26KAAW
16150,A26KA7V
16151,A261F03
16152,A26K9P6
16153,A26KA1H
16154,A26K9NR
16155,A26K9RN
16156,6506261-1
16157,6506260-1
16158,6506260-2
16311,3DH01027920
16313,12121212
16314,12312322
16776,333676339
16777,3346748774
16778,3346748972
16779,10013463001464
16780,100013463001456
16781,5028695603196
16782,NULL
16783,NULL
16784,NULL
16785,NULL
16786,NULL
16787,NULL
16788,NULL
16789,NULL
16790,NULL
16791,NULL
16792,NULL
16793,NULL
16794,NULL
16795,NULL
16796,NULL
16797,NULL
16798,NULL
16799,NULL
16800,101183
16801,100934
16802,NULL
16803,NULL
16804,NULL
16805,NULL
16806,NULL
16807,NULL
16808,NULL
16809,NULL
16810,NULL
16811,NULL
16812,NULL
16813,NULL
16814,NULL
16815,NULL
16816,3346748904
16817,3346748858
16818,3346748854
16819,NULL
16820,2144532
16821,NULL
16822,NULL
16823,5955842
16824,NULL
16825,2143779
16826,2143778
16827,7165726
16828,NULL
16829,NULL
16830,NULL
16831,NULL
16832,NULL
16833,NULL
16834,NULL
16835,NULL
16836,NULL
16837,NULL
16838,NULL
16839,NULL
16840,NULL
16841,NULL
16842,NULL
16843,NULL
16844,NULL
16845,NULL
16846,NULL
16847,NULL
16848,NULL
16849,NULL
16850,NULL
16851,NULL
16852,8311227900121
16853,NULL
16854,NULL
16855,NULL
16856,NULL
16857,NULL
16858,NULL
16859,NULL
16860,NULL
16861,NULL
16862,NULL
16863,NULL
16864,NULL
16865,NULL
16866,NULL
16867,NULL
16868,NULL
16869,NULL
16870,NULL
16871,NULL
16872,NULL
16873,NULL
16874,NULL
16875,NULL
16876,NULL
16877,NULL
16878,101184
16879,94
16880,NULL
16881,NULL
16882,NULL
16883,NULL
16884,NULL
16885,NULL
16886,NULL
16887,NULL
16888,1190150778
16889,1190150773
16890,1190150774
16891,1190150780
16892,NULL
16893,NULL
16894,NULL
16895,NULL
16896,NULL
16897,NULL
16898,NULL
16899,NULL
16900,NULL
16901,NULL
16902,NULL
16903,NULL
16904,NULL
16905,NULL
16906,NULL
16907,NULL
16908,NULL
16909,6201107180083
16910,NULL
16911,NULL
16912,NULL
16913,NULL
16914,NULL
16915,NULL
16916,NULL
16917,NULL
16918,NULL
16919,NULL
16920,NULL
16921,NULL
16922,NULL
16923,NULL
16924,NULL
16925,6166151
16926,NULL
16927,NULL
16928,NULL
16929,NULL
16930,NULL
16931,NULL
16932,NULL
16933,NULL
16934,NULL
16935,NULL
16936,NULL
16937,NULL
16938,NULL
16939,NULL
16940,NULL
16941,NULL
16942,NULL
16943,NULL
16944,NULL
16945,NULL
16946,NULL
16947,NULL
16948,NULL
16949,NULL
16950,NULL
16951,NULL
16952,NULL
16953,NULL
16954,NULL
16955,NULL
16956,NULL
16957,NULL
16958,NULL
16959,NULL
16960,NULL
16961,NULL
16962,NULL
16963,NULL
16964,NULL
16965,30450959
16966,NULL
16967,NULL
16968,NULL
16969,NULL
16970,NULL
16971,NULL
16972,NULL
16973,NULL
16974,NULL
16975,NULL
16976,NULL
16977,NULL
16978,NULL
16979,NULL
16980,NULL
16981,NULL
16982,NULL
16983,NULL
16984,NULL
16985,NULL
16986,NULL
16987,NULL
16988,NULL
16989,NULL
16990,NULL
16991,NULL
16992,NULL
16993,NULL
16994,NULL
16995,NULL
16996,NULL
16997,NULL
16998,NULL
16999,NULL
17000,NULL
17001,NULL
17002,NULL
17003,NULL
17004,552021030345
17005,NULL
17008,A0JXDP2 E23992
17009,A0N81X1 E24819
17010,787513055 ER12810
17011,707642009 ER12762
17012,707642013 ER12762
17013,A0B6XU7  E23590
17014,A0F9WD0 E23590
17015,A05GHTS ER19004
17016,A00VSGU ER15167
17017,A00WQXI ER16580
17018,A0BYP7V ER23154
17019,EXT0000000000379
17020,642445013 ER0827
17021,643359024 ER0827
17022,643359036 ER0827
17023,643359037 ER0827
17024,643359022 ER0827
17025,A01UL81 ER17694
17026,A00NZ20 ER16547
17027,A05Y01IP ER19330
17028,NULL
17029,N101369LN
17030,106140030000200
17031,P0133734
17032,N/A
17033,N/A
17034,N/A
17035,NULL
17036,NULL
17037,N/A
17038,N/A
17039,N/A
17040,N/A
17041,N/A
17042,N/A
17043,N/A
17044,N/A
17045,N/A
17046,N/A
17047,CONE664434
17048,3CB6-X50877-2Z
17049,DA-SNAP-DM69X110NPA130DIC
17050,N/A
17051,OSSR3K6NC02611N
17052,NULL
17053,98002800NB
17054,A29Q1YY
17055,N/A
17056,N/A
17057,08JF3K4W500219J
17058,08JF3K4W500292A
17059,08JF3K4W500311B
17060,08JF3K4W500278J
17061,NULL
17062,N/A
17063,AS-S2-CC1540
17064,AS-S2-CC1840
17065,N/A
17066,N/A
17067,N/A
17068,JC02777
17069,1404-0014
17070,N/A
17071,NULL
17072,ETLBNOC154949-791F40H7
17073,E39298170
17074,E39397977
17075,3AB07606043
17076,3AB07606055
17077,2TG27535082
17078,2TG27535119
17079,2TG27535551
17080,2TG37535537
17081,2TG27535094
17082,N/A
17083,A2UH38X
17084,050547Z40770084AE
17085,050547Z50780051AE
17086,N/A
17087,N/A
17088,029309910530002BP
17089,N/A
17090,N/A
17091,PSZ24321KZ7
17092,N/A
17093,GLS-ODT-C-CN
17094,D1N-4DIMFLV4
17095,2002SCQ04X89
17096,DTPHDMI4K230TX
17097,A2649NF
17098,A2649MC
17099,A2648WW
17100,A26DEPC
17101,A26DECP
17102,A25J9L2
17103,A26DEJ4
17104,A222P1A
17105,ECC11057
17106,ECC12505
17107,ECC11113
17108,ECC12501
17109,3SL16901381
17110,3AA2995858
17111,3AA29995872
17112,3AA29995810
17113,3AA21363301
17114,3AA29993882
17115,3AA29993919
17116,3AA29993921
17117,3AA29993894
17118,3AA29994023
17119,3AA29992386
17120,N/A
17121,A21W2CB
17122,A21W2CD
17123,NULL
17124,A1KC-244-0017
17125,A2HWVQW
17126,AOOVSGU
17127,AOOWQX1
17128,A28EX9U
17129,A285TT2
17130,A24X9YA
17131,A26AX1C
17132,A28876L
17133,A2HYU4V
17134,A2HYU51
17135,NULL
17136,NULL
17137,NULL
17138,NULL
17139,06LB3K6R900391
17140,09U33K6X401335
17141,A26FJRC
17142,A26F5L2
17143,60-1271-1
17144,A2599UF
17145,A29YJ6A
17146,A21Y8WR
17147,1946MT005DC9
17148,1949MT020899
17149,2SL13565098
17150,N/A
17151,FSR1U
17152,NULL
17153,2010JBH05503
17154,2010JBH20977
17155,2005NEJ07643
17156,2005NEJ07704
17157,2010NEJ08230
17158,2010NEJ08104
17159,2010JBH0457S
17160,N/A
17161,PSZ24411HS3
